"item_name","category","subcategory","item_type","brand","compatible_models","sku","selling_price","minimum_selling_price","cost_price","quantity","minimum_stock","supplier","shelf_location","notes","image_url"
"iPhone 16 Pro Max Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 16 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16 Pro Max Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 16 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 16 Pro Max Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 16 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_16_(54251926561).jpg"
"iPhone 17e Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 17e","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
"iPhone 17e Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 17e","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
"iPhone 17e Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 17e","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
"iPhone Air Back Glass","Phone Parts","Back Glass","part","Apple","iPhone Air","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
"iPhone Air Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone Air","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
"iPhone Air Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone Air","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
"iPhone 17 Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 17","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Black_iPhone_17.jpg"
"iPhone 17 Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 17","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Black_iPhone_17.jpg"
"iPhone 17 Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 17","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Black_iPhone_17.jpg"
"iPhone 17 Pro Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 17 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
"iPhone 17 Pro Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 17 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
"iPhone 17 Pro Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 17 Pro","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
"iPhone 17 Pro Max Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 17 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
"iPhone 17 Pro Max Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 17 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
"iPhone 17 Pro Max Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 17 Pro Max","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_17_Series_and_Air_and_16e.jpg"
